,strategy,commission,profit_factor,loss_factor,total_return,return_rate,sharpe,drawdown,volatility,predict_signal,limit_price,predict_take_profit,predict_stop_loss
0,BBANDS,0.0,0.5,0.1,0,0.0,0,0,0,0.0,1296.9,,
1,BBANDS,0.0,0.5,0.6,0,0.0,0,0,0,0.0,1296.9,,
2,BBANDS,0.0,0.5,1.1,0,0.0,0,0,0,0.0,1296.9,,
3,BBANDS,0.0,0.5,1.6,0,0.0,0,0,0,0.0,1296.9,,
4,BBANDS,0.0,0.5,2.1,0,0.0,0,0,0,0.0,1296.9,,
5,BBANDS,0.0,0.5,2.6,0,0.0,0,0,0,0.0,1296.9,,
6,BBANDS,0.0,0.5,3.1,0,0.0,0,0,0,0.0,1296.9,,
7,BBANDS,0.0,0.5,3.6,0,0.0,0,0,0,0.0,1296.9,,
8,BBANDS,0.0,0.5,4.1,0,0.0,0,0,0,0.0,1296.9,,
9,BBANDS,0.0,0.5,4.6,0,0.0,0,0,0,0.0,1296.9,,
10,BBANDS,0.0,0.5,5.1,0,0.0,0,0,0,0.0,1296.9,,
11,BBANDS,0.0,0.5,5.6,0,0.0,0,0,0,0.0,1296.9,,
12,BBANDS,0.0,0.5,6.1,0,0.0,0,0,0,0.0,1296.9,,
13,BBANDS,0.0,0.5,6.6,0,0.0,0,0,0,0.0,1296.9,,
14,BBANDS,0.0,0.5,7.1,0,0.0,0,0,0,0.0,1296.9,,
15,BBANDS,0.0,0.5,7.6,0,0.0,0,0,0,0.0,1296.9,,
16,BBANDS,0.0,0.5,8.1,0,0.0,0,0,0,0.0,1296.9,,
17,BBANDS,0.0,0.5,8.6,0,0.0,0,0,0,0.0,1296.9,,
18,BBANDS,0.0,0.5,9.1,0,0.0,0,0,0,0.0,1296.9,,
19,BBANDS,0.0,0.5,9.6,0,0.0,0,0,0,0.0,1296.9,,
20,BBANDS,0.0,1.0,0.1,0,0.0,0,0,0,0.0,1296.9,,
21,BBANDS,0.0,1.0,0.6,0,0.0,0,0,0,0.0,1296.9,,
22,BBANDS,0.0,1.0,1.1,0,0.0,0,0,0,0.0,1296.9,,
23,BBANDS,0.0,1.0,1.6,0,0.0,0,0,0,0.0,1296.9,,
24,BBANDS,0.0,1.0,2.1,0,0.0,0,0,0,0.0,1296.9,,
25,BBANDS,0.0,1.0,2.6,0,0.0,0,0,0,0.0,1296.9,,
26,BBANDS,0.0,1.0,3.1,0,0.0,0,0,0,0.0,1296.9,,
27,BBANDS,0.0,1.0,3.6,0,0.0,0,0,0,0.0,1296.9,,
